,tag,Question,Reponse
275,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"donc selon Citation de: Naceur le 14 février 2009, 01:03:16 pm 13:03LArticle 18 de La Déclaration des Droits de l'Homme et du Citoyen daté du  10 décembre 1948  stipule que « Toute personne a droit à la liberté de pensée, de conscience et de religion ; ce droit implique la liberté de changer de religion ou de conviction ainsi que la liberté de manifester sa religion ou sa conviction seule ou en commun, tant en public qu'en privé, par l'enseignement, les pratiques, le culte et l'accomplissement des rites. »donc selon cet article la femme a droit de manifester sa religion en public par les pratiques donc qu'est ce qui interdit selon notre législation de porter le voileet si il existe un texte est ce qu'il n'est pas contraire à l'article ci dessus précité"
276,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Citation de: RIM.S le 06 mars 2009, 04:45:28 pm 16:45et si il existe un texte est ce qu'il n'est pas contraire à l'article ci dessus précitéRéponse :  Citation de: lemaitre le 10 novembre 2008, 11:29:57 pm 23:29le circulaire n°108 est un circulaire qui concerne la tenue vestimentaire que doit se proscrire les fonctionnaire de l'etat dans les locaux administratives.le tribunal administratif par un arret rendu fin 2007 a considere que ce circulaire est contraire à la constitution ."
277,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,الحمد لله  
278,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Citation de: leila11 le 20 novembre 2006, 06:05:09 pm 18:05Ce n'est pas parce qu'on applique le minimum obligatoire dans la religion qu'on est islamiste! Le voile est une obligation, ce n'est pas comme la barbe.Le voile n'a jamais été cité tel quel dans le Coran comme obligation de coiffe des femmes, il est plutot question de couvrir ses charmes c'est à dire sa poitrine et de contenir une certaine pudeur, d'ailleurs ce ne sont que des recommandations de savoir vivre. Le voile n'est rien d'autre que le symbole de soumission des femmes aux hommes.Et lorsqu'on voit des femmes voilées porter des tenues moulantes, on est au comble du paroxysme, alors cessez cette hypocrisie vestimentaire."
279,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"""Le voile n'a jamais été cité tel quel dans le Coran comme obligation de coiffe des femmes, il est plutot question de couvrir ses charmes c'est à dire sa poitrine et de contenir une certaine pudeur, d'ailleurs ce ne sont que des recommandations de savoir vivre""Dans ce cas on peut considérer le voile comme une recommandation menant au savoir vivre aussi ""Le voile n'est rien d'autre que le symbole de soumission des femmes aux hommes""C'est une hypothèse personnelle à respecter sur le port de voile mais reste à vérifier et à généraliser!!"" Et lorsqu'on voit des femmes voilées porter des tenues moulantes, on est au comble du paroxysme, alors cessez cette hypocrisie vestimentaire."" Personnellement, je les préfère couvertes même si c'est dans une tenue moulante que découvertes, on s'approche plus de la pudeur (dont tu te réfères) dans le premier cas que dans le second.et si ça gène autant que ça, il faudrait appliquer ce qui a été clairement cité dans le coran : ""de limiter le champs du regard"""
280,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Je constate que le sujet prend un tournure en marge du droit ce qui met certains messages en marge de l'objet de ces Forums.Ceci étant dit et pour ne pas bloquer un sujet intéressant malgré tout, je dois noter que la liberté vestimentaire est un aspect de la liberté que garantit la constitution. cette liberté n'est pas absolue puisqu'elle est cantonnée dans le cadre de la loi et le respect des bonnes meurs et l'ordre public. S'habiller vert ou rouge, mettre un voile ou une kachabia, se couvrir d'une blouson cuir en pleine journée d'aout où il fait 50 degré est une question de liberté mais de gout aussi.il est vrai que le voile (et il faut reconnaitre ce fait) est devenu à une certaine époque le symbole d'une appartenance à un mouvement politique. Ce n'est pas le voile dans le sens absolu, mais un certain type de voile de dimensions, couleurs et façons de le porter, STANDARD. Le Coran n'a pas dit que le voile doit être noir. Il n'a pas précisé qu'il faut le contourner par la droite du cou...etc. Le Coran n'a exigé que ce qu'on appel en Tunisie: ESSOTR. (التحشّم).Mais aujourd'hui, on voit dans la rue des femmes qui soit disant portent le voile alors qu'elles portent des pantalons à la limite exhibitionnistes!!!! C'est paradoxal.La question est complexe. Elle est plus complexe du point de vue juridique car croyez moi, les arguments du pour (la liberté) et  contre sont immenses et peuvent être de même solidité. Mais je reste convaincu que la technique de s'opposer à ce phénomène ne doit pas passer par des textes mais plutôt par une bonne culture religieuse et un bon message politique. Qu'on laisse la loi s'occuper de ses défaillances accumulées par des gens qui ont pris la loi comme un petit âne (البهيم القصير)sur le dos duquel on a mis tout, même des sels. "
281,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Bonsoir,Aucune loi n'interdit le port du voile en Tunisie.Une circulaire datée de 1985 est toutefois à l'origine de cette interdiction. Cette circulaire, à mon avis, est anti-constitutionelle pour plusieurs raisons dans la plus connue est qu'une circulaire ne peut être considérée comme une loi. "
282,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Re bonsoir, Egalement vous pouvez tenter action devant le tribunal administratif pour abus de pouvoir pour manifester que cette décision est illégale et anti-constitutionelle. Ca serait une première mais chaque chose à son début."
283,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Bonjour,Que prévoit exactement cette circulaire de 1985 ?Car si ma femme porte le voile d'une certaine manière ils ne la dérangent pas à l'université. Mais si elle le porte d'une autre maniere ils lui demandent de l'enlever.J'y comprend rien...Si je tente maintenant une action devant le tribunal administratif comme vous le dites alors je suis sûr et certain que l'administration de l'université importunera ma femme davantage encore.Mais inchallah, je tenterais une action devant le tribunal administratif une fois qu'elle aura achevé ses études, si jamias on lui donnera la possibilité de les achever...Soulhouf_h"
284,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,Votre femme a signé un règlement intérieur dés son inscription. Elle doit donc respecter la circulaire et suivre toutes les instructions du ministère.Vous dites quand ma femme aura achevé ses études je vais déposer une plainte!Votre attitude est bizarre car pourquoi irez-vous au tribunal si jamais elle réussi à achever ses études sans respecter les termes des dispositions réglementaires.
285,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Il est étrange qu'au moment même où un débat secoue à l'étranger les intellectuels, les religieux et certains politiques au sujet du port du voile et d'une façon plus gérérale sur les signes ostentatoires religieux en Tunisie, cette question ne soit pas abordée sur ce forum.Ses visiteurs pratiqueraient-ils une autocensure inavouée?"
286,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Le port du voile suscite quelques remarques:La tunisie est un Etat laique et de ce fait il n'a rien à voir avec la pratique du culte par le peuple , il ne devrait donc pas interdire aux gens de pratiquer leur religion de la manière qu'il leur semble bonne ... Ceci est d'autant plus consacré par des conventions internationales ratifiées par la Tunisie, et c'est un principe constitutionnel.Reste que la pratique du culte devient interdite dés l'instant ou, pour des raisons supérieures dont la paix et la sécurité des concitoyens, l'Etat peut et doit prendre les mesures qu'il juge nécessaires pour arréter ou anéantir une situation vouée à la catastrophe. Pour ce, l'Etat se dote d'une armada de lois donnant un caractère légal à sa mesure. En Tunisie il faut réfléchir à ça, car devant un tribunal, la circulaire sera annulée mais cela ne supposera pas que le voile serait alors permis!!! Non car l'Etat pourra faire les choses dans les règles de l'art et édicter des lois dont le but est la garantie de l'ordre public, de la paix et de la sécurité nationale qui à mon sens, et de point de vue neutre, est un argument trés convainquant.Je ne sais pas ce qui l'on est pour vu mais, personnellement, quand je vois une fille voilée dans la rue elle attire mon attention car je ne suis pas habitué à en voir, aussi quand je vois un homme avec la barbe des Afghans je me demande si c'est vraiment ça être musulman cad laisser pousser la barbe, être misogyne, et ramener tout à la religion ... Franchement je crois que non, et il faut du recul pour s'en apercevoir. L'être humain par nature a tendance à exagérer, eh bien, si demain l'on permettait aux femmes de se voiler on finira comme avant l'indépendance et les femmes n'auront plus aucun droits. J'entends déjà certains d'entre vous qui disent ""c'est ce qu'il faut"" mais aujourd'hui messieurs c'est pas l'an 1 hejra; Aujourd'hui les femmes sont l'égales des hommes et sont des actrices importantes dans notre économie et dans notre société. Assurez-vous que l'Etat est la pour maintenir que les comportements soient dans l'ordre du logique et je suis persuadé que les gens qui ont pris l'initiative de cette interdiction l'ont en ayant de trés bonnes raisons. A vous lire"
287,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Salam,je voulais savoir si demain ,on s'installait en Tunisie est ce que ma femme serait embêtait car elle porte le hijab?je ne comprends pas la Tunisie est un pays à majorité musulman et la femme si elle veut mettre le voile par conviction religieuse par crainte de Dieu , pourquoi elle doit l'enlever dans la rue.....pourquoi dire un retour à l'arrière pour les femmes qui veulent leur voile  , n'ont elles pas le droit de mettre le voile tout en se consacrant au bon développement de la Tunisie? comme celle qui ne le met pas....en quoi cela gène t il son prochain? celle qui met un jean serrée avec un décolté peut tout à fait vivre à coté de celle qui se voile non?en quoi est ce un danger?expliquez moi svp car beaucoup d'immigrés se posent cette question....Nous voudrions y retourner en respectant notre prochainet en faisant du commerce tout en pratiquant notre religion....sereinement ...pour ma part je ne porte pas la barbe mais celui qui la porte ne me dérange pas du tout ....c'est son choix et ce n'est pas la tv qui me montre des choses sur l'Afghan qui va me faire généralsier ce port de barbe qui est une sounna de la part de ceux qui la porte ....pas de généralité s'il vous plait....il faut accepter tout le monde et bien sur dénoncer les extèmes et la violence ...Cordialement."
288,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,Qui t'a dit que le port de voile est interdit en Tunisie?On dirait que tu parles d'un pays Anti-Islam!!!Ta femme peut porter ça et elle ne sera nullement inquiétée. On a juste fait une petite campagne pour stopper un type particulier de voile.
289,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Salam,quel type de voile n'est pas accepté?et pour la barbe est ce interdit?je vous dis celà car depuis peu on entend ici et là qu'on est embêté pour le port du voile ""hijab et pour la barbe ..je voulais savoir si celà s'avérait exact ...voilà tout.Cordialement."
290,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,N'oubliez pas que le voile est avant tout un instrument revendicatif à caractère essentiellement politique. Inciter les femmes à le porter au nom de la religion est avant tout un moyen de faire porter la voix des islamistes à toutes les classes de la population. Et vous savez tous quel modèle rétrograde et dépassée de la société veulent véhiculer les islamistes. Alors inutile d'être leurs porte-voix et de jouer leur jeu...
291,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,on parle actuellement d'un arret qui a juge inconstitutionnelles les circulaires 102 et 108et qui a rehabilite le droit d'une enseignante a porter le voile dons son etablissementest ce que quequ'un peut nous le confirmer ?merci et 3idkom mabrouk
292,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,Faux. C'est juste une juge qui a qualifié les decrets 102 et 108 d'anticonstitutionnels lors du rendement d'un verdict.
293,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"@iphitosvous ditesCiterLa tunisie est un Etat laiqueje crois pas que la tunisie est si laique ! lire le premier article de la constitution CiterArticle premier. - La Tunisie est un Etat libre, indépendant et souverain: sa religion est l'Islam, sa langue l'arabe et son régime la république.juste une precision "
294,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"une précision précieuse Mehdi  je veux juste ajouter que se sont les filles qui se fringuent d'une manière un peu ""sexy"" ( pantalons moulants etc) qui attirent mon attention et non pas celles qui sont voilées. je ne suis ni pour ni contre le port du voile, mais je souhaite que chacun vit et pense librement sans être jugé sur sa tenue vestimentaire ou son apparence physique."
295,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"bonjour, en premier lieu je voudrai bien corriger une faute : l'etat tunisien de part le constitution n'est pas un État laïque. c'est un État  qui a une religion qui est l'islam.en deuxieme lieu : le circulaire n°108 est un circulaire qui concerne la tenue vestimentaire que doit se proscrire les fonctionnaire de l'etat dans les locaux administratives.la police par un exces de zele , elle tend a appliquer ce circulaire a toute la populations dans tout les leiux public troisiemement: la circulaire est contraire à la constitution tunisienne ,le tribunal administratif par un arret rendu fin 2007 a considere que ce circulaire est contraire à la constitution .la question qui se pose :le voile est il un signe d'appartenance politique ou bien il est mis en application d'un precepte religieux ? c'est toute la question . A mon avis un debat national objectif et libre est necessaire pour repondre a cette question . jusque là porter ou non le voile est une question de liberte individuelle qui doit etre respecter que l'on soit pour ou contre . "
296,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Bonjour,Merci pour cette information (troisièrement).Ce ci explique peut être le recul observé ces derniers moments, du fait que le port du voile est devenu un peu plus toléré dans la rue et dans les établissements publiques.Moi je poserai votre question autrement; car en tunisie le port de voile ne peut pas être considéré comme un signe d'appartenance politique, puisqu'il aujourd'hui  il existe pas de parti politique islamique. je dirai plutot: le port de voile est il mis en application selon un percepte religieux ou est-il simplement un phénomène de mode en Tunisie?That is the question!!"
297,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Citation de: lemaitre le 10 novembre 2008, 11:29:57 pm 23:29bonjour, la question qui se pose :le voile est il un signe d'appartenance politique ou bien il est mis en application d'un precepte religieux ? c'est toute la question . A mon avis un debat national objectif et libre est necessaire pour repondre a cette question . jusque là porter ou non le voile est une question de liberte individuelle qui doit etre respecter que l'on soit pour ou contre . Le port de voile est un phénomène assez complexe que certains voulaient le cerner dans un cadre précis.Pourquoi on porte le voile? allez chercher.Chacun a ses raisons. Faut juste se respecter...et respecter les autres."
298,Droit Commercial et économique : Droit des Sociétés,Les députés francais se dressent contre le port du Niqab...,Dans ce cas je me demande où peuvent ils situer les soeurs religieuses de l'église?
299,Droit Commercial et économique : Droit des Sociétés,Les députés francais se dressent contre le port du Niqab...,"Bonjour à tous,On est encore entrain d'assister aux manifestations du manque de tolérance d'une république, pourtant donneuse de leçons, envers une communauté qui tout simplement a décidé de rester fidèle à ses traditions.C'est en continuant à stigmatiser de cette manière les musulmans que l'on permet aux intégrismes de s'installer et de proliférer. Des personnes qui se sentent rejetées sont plus enclin à se tourner vers l'obscurantisme. Alors que l'on peut vivre en très bonne intélligence avec les autres.Même les USA s'étonnent des dérives françaises orchestrées au nom de cet alibi qu'est la laicité républicaines.Jusqu'ou iront ils??"
300,Droit Commercial et économique : Droit des Sociétés,Les députés francais se dressent contre le port du Niqab...,CiterJusqu'ou iront ils?jusqu'où peut conduire la connerie humaine
301,Droit Commercial et économique : Droit des Sociétés,Les députés francais se dressent contre le port du Niqab...,Enfin de compte ils ont pas pu faire face au hijab alors ils ont  fait le tour vers le niquab c'est clair et net ils n'arrivera a rien car l'islam envahi le monde et en premier lieu la France  . 
302,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"L'interdiction du port du voile devrait être appliquée à quiconque se trouvant sur le térritoire tunisien. Le fait que cette dame soit française ne la dispense en aucun cas de se soumettre à nos lois, aussi je dois ajouter que même en France une telle interdiction existe alors ...Ceci dit, je critique le fait qu'on ait interpelé cette dame en pleine rue, l'interdition devrait jouer dans les locaux étatiques.Je condamne l'excés dans les deux sens. Que l'on ne rende pas ce pays un QG des islamistes, et qu'on le rende pas un Etat policier aussi."
303,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Ce n'est pas parce qu'on applique le minimum obligatoire dans la religion qu'on est islamiste! Le voile est une obligation, ce n'est pas comme la barbe."
304,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Salam ,Qu'est-ce qui est autorisé quand on parle du voile traditionnel?De quel façon veulent-ils qu'on mette le voile pour ne pas se faire interpeller par la police.Merci."
305,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Citation de: leila11 le 18 novembre 2006, 12:29:52 pm 12:29Es selem alaykoum et bonjour, Pourriez-vous me donner plus de détails sur cette interdiction de porter le voile dans les etablissements scolaires, administratif et même publics!!Trouvez-vous normal qu'un policier m'ait arrêté en pleine rue à Tunis il y a moins d'un mois parce que je portais le voile? Heureusement qu'il a vu que j'étais française sinon j'aurais dû l'enlever en pleine rue!!C'est triste..."
306,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"En effet, le hijab devient un symbole mondiale qui désigne l'appartenance a un certain groupe de terroriste Islamiste, il faux tout simplement porter d’autre trucs "
307,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"le faite que internet propose du porno et autres immoralités n'autorise pas à la couper purement et simplement , une bonne  chose ici peut être mauvaise d'une autre point de vue"
308,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"L’Article 18 de La Déclaration des Droits de l'Homme et du Citoyen daté du  10 décembre 1948  stipule que « Toute personne a droit à la liberté de pensée, de conscience et de religion ; ce droit implique la liberté de changer de religion ou de conviction ainsi que la liberté de manifester sa religion ou sa conviction seule ou en commun, tant en public qu'en privé, par l'enseignement, les pratiques, le culte et l'accomplissement des rites. »Slts/Naceur "
309,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"donc selon Citation de: Naceur le 14 février 2009, 01:03:16 pm 13:03LArticle 18 de La Déclaration des Droits de l'Homme et du Citoyen daté du  10 décembre 1948  stipule que « Toute personne a droit à la liberté de pensée, de conscience et de religion ; ce droit implique la liberté de changer de religion ou de conviction ainsi que la liberté de manifester sa religion ou sa conviction seule ou en commun, tant en public qu'en privé, par l'enseignement, les pratiques, le culte et l'accomplissement des rites. »donc selon cet article la femme a droit de manifester sa religion en public par les pratiques donc qu'est ce qui interdit selon notre législation de porter le voileet si il existe un texte est ce qu'il n'est pas contraire à l'article ci dessus précité"
310,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Citation de: RIM.S le 06 mars 2009, 04:45:28 pm 16:45et si il existe un texte est ce qu'il n'est pas contraire à l'article ci dessus précitéRéponse :  Citation de: lemaitre le 10 novembre 2008, 11:29:57 pm 23:29le circulaire n°108 est un circulaire qui concerne la tenue vestimentaire que doit se proscrire les fonctionnaire de l'etat dans les locaux administratives.le tribunal administratif par un arret rendu fin 2007 a considere que ce circulaire est contraire à la constitution ."
311,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,الحمد لله  
312,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Citation de: leila11 le 20 novembre 2006, 06:05:09 pm 18:05Ce n'est pas parce qu'on applique le minimum obligatoire dans la religion qu'on est islamiste! Le voile est une obligation, ce n'est pas comme la barbe.Le voile n'a jamais été cité tel quel dans le Coran comme obligation de coiffe des femmes, il est plutot question de couvrir ses charmes c'est à dire sa poitrine et de contenir une certaine pudeur, d'ailleurs ce ne sont que des recommandations de savoir vivre. Le voile n'est rien d'autre que le symbole de soumission des femmes aux hommes.Et lorsqu'on voit des femmes voilées porter des tenues moulantes, on est au comble du paroxysme, alors cessez cette hypocrisie vestimentaire."
313,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"""Le voile n'a jamais été cité tel quel dans le Coran comme obligation de coiffe des femmes, il est plutot question de couvrir ses charmes c'est à dire sa poitrine et de contenir une certaine pudeur, d'ailleurs ce ne sont que des recommandations de savoir vivre""Dans ce cas on peut considérer le voile comme une recommandation menant au savoir vivre aussi ""Le voile n'est rien d'autre que le symbole de soumission des femmes aux hommes""C'est une hypothèse personnelle à respecter sur le port de voile mais reste à vérifier et à généraliser!!"" Et lorsqu'on voit des femmes voilées porter des tenues moulantes, on est au comble du paroxysme, alors cessez cette hypocrisie vestimentaire."" Personnellement, je les préfère couvertes même si c'est dans une tenue moulante que découvertes, on s'approche plus de la pudeur (dont tu te réfères) dans le premier cas que dans le second.et si ça gène autant que ça, il faudrait appliquer ce qui a été clairement cité dans le coran : ""de limiter le champs du regard"""
314,Droit Commercial et économique : Droit des Sociétés,Interdiction du hijab,"Je constate que le sujet prend un tournure en marge du droit ce qui met certains messages en marge de l'objet de ces Forums.Ceci étant dit et pour ne pas bloquer un sujet intéressant malgré tout, je dois noter que la liberté vestimentaire est un aspect de la liberté que garantit la constitution. cette liberté n'est pas absolue puisqu'elle est cantonnée dans le cadre de la loi et le respect des bonnes meurs et l'ordre public. S'habiller vert ou rouge, mettre un voile ou une kachabia, se couvrir d'une blouson cuir en pleine journée d'aout où il fait 50 degré est une question de liberté mais de gout aussi.il est vrai que le voile (et il faut reconnaitre ce fait) est devenu à une certaine époque le symbole d'une appartenance à un mouvement politique. Ce n'est pas le voile dans le sens absolu, mais un certain type de voile de dimensions, couleurs et façons de le porter, STANDARD. Le Coran n'a pas dit que le voile doit être noir. Il n'a pas précisé qu'il faut le contourner par la droite du cou...etc. Le Coran n'a exigé que ce qu'on appel en Tunisie: ESSOTR. (التحشّم).Mais aujourd'hui, on voit dans la rue des femmes qui soit disant portent le voile alors qu'elles portent des pantalons à la limite exhibitionnistes!!!! C'est paradoxal.La question est complexe. Elle est plus complexe du point de vue juridique car croyez moi, les arguments du pour (la liberté) et  contre sont immenses et peuvent être de même solidité. Mais je reste convaincu que la technique de s'opposer à ce phénomène ne doit pas passer par des textes mais plutôt par une bonne culture religieuse et un bon message politique. Qu'on laisse la loi s'occuper de ses défaillances accumulées par des gens qui ont pris la loi comme un petit âne (البهيم القصير)sur le dos duquel on a mis tout, même des sels. "
315,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Bonsoir,Aucune loi n'interdit le port du voile en Tunisie.Une circulaire datée de 1985 est toutefois à l'origine de cette interdiction. Cette circulaire, à mon avis, est anti-constitutionelle pour plusieurs raisons dans la plus connue est qu'une circulaire ne peut être considérée comme une loi. "
316,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Re bonsoir, Egalement vous pouvez tenter action devant le tribunal administratif pour abus de pouvoir pour manifester que cette décision est illégale et anti-constitutionelle. Ca serait une première mais chaque chose à son début."
317,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Bonjour,Que prévoit exactement cette circulaire de 1985 ?Car si ma femme porte le voile d'une certaine manière ils ne la dérangent pas à l'université. Mais si elle le porte d'une autre maniere ils lui demandent de l'enlever.J'y comprend rien...Si je tente maintenant une action devant le tribunal administratif comme vous le dites alors je suis sûr et certain que l'administration de l'université importunera ma femme davantage encore.Mais inchallah, je tenterais une action devant le tribunal administratif une fois qu'elle aura achevé ses études, si jamias on lui donnera la possibilité de les achever...Soulhouf_h"
318,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,Votre femme a signé un règlement intérieur dés son inscription. Elle doit donc respecter la circulaire et suivre toutes les instructions du ministère.Vous dites quand ma femme aura achevé ses études je vais déposer une plainte!Votre attitude est bizarre car pourquoi irez-vous au tribunal si jamais elle réussi à achever ses études sans respecter les termes des dispositions réglementaires.
319,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Il est étrange qu'au moment même où un débat secoue à l'étranger les intellectuels, les religieux et certains politiques au sujet du port du voile et d'une façon plus gérérale sur les signes ostentatoires religieux en Tunisie, cette question ne soit pas abordée sur ce forum.Ses visiteurs pratiqueraient-ils une autocensure inavouée?"
320,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Le port du voile suscite quelques remarques:La tunisie est un Etat laique et de ce fait il n'a rien à voir avec la pratique du culte par le peuple , il ne devrait donc pas interdire aux gens de pratiquer leur religion de la manière qu'il leur semble bonne ... Ceci est d'autant plus consacré par des conventions internationales ratifiées par la Tunisie, et c'est un principe constitutionnel.Reste que la pratique du culte devient interdite dés l'instant ou, pour des raisons supérieures dont la paix et la sécurité des concitoyens, l'Etat peut et doit prendre les mesures qu'il juge nécessaires pour arréter ou anéantir une situation vouée à la catastrophe. Pour ce, l'Etat se dote d'une armada de lois donnant un caractère légal à sa mesure. En Tunisie il faut réfléchir à ça, car devant un tribunal, la circulaire sera annulée mais cela ne supposera pas que le voile serait alors permis!!! Non car l'Etat pourra faire les choses dans les règles de l'art et édicter des lois dont le but est la garantie de l'ordre public, de la paix et de la sécurité nationale qui à mon sens, et de point de vue neutre, est un argument trés convainquant.Je ne sais pas ce qui l'on est pour vu mais, personnellement, quand je vois une fille voilée dans la rue elle attire mon attention car je ne suis pas habitué à en voir, aussi quand je vois un homme avec la barbe des Afghans je me demande si c'est vraiment ça être musulman cad laisser pousser la barbe, être misogyne, et ramener tout à la religion ... Franchement je crois que non, et il faut du recul pour s'en apercevoir. L'être humain par nature a tendance à exagérer, eh bien, si demain l'on permettait aux femmes de se voiler on finira comme avant l'indépendance et les femmes n'auront plus aucun droits. J'entends déjà certains d'entre vous qui disent ""c'est ce qu'il faut"" mais aujourd'hui messieurs c'est pas l'an 1 hejra; Aujourd'hui les femmes sont l'égales des hommes et sont des actrices importantes dans notre économie et dans notre société. Assurez-vous que l'Etat est la pour maintenir que les comportements soient dans l'ordre du logique et je suis persuadé que les gens qui ont pris l'initiative de cette interdiction l'ont en ayant de trés bonnes raisons. A vous lire"
321,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Salam,je voulais savoir si demain ,on s'installait en Tunisie est ce que ma femme serait embêtait car elle porte le hijab?je ne comprends pas la Tunisie est un pays à majorité musulman et la femme si elle veut mettre le voile par conviction religieuse par crainte de Dieu , pourquoi elle doit l'enlever dans la rue.....pourquoi dire un retour à l'arrière pour les femmes qui veulent leur voile  , n'ont elles pas le droit de mettre le voile tout en se consacrant au bon développement de la Tunisie? comme celle qui ne le met pas....en quoi cela gène t il son prochain? celle qui met un jean serrée avec un décolté peut tout à fait vivre à coté de celle qui se voile non?en quoi est ce un danger?expliquez moi svp car beaucoup d'immigrés se posent cette question....Nous voudrions y retourner en respectant notre prochainet en faisant du commerce tout en pratiquant notre religion....sereinement ...pour ma part je ne porte pas la barbe mais celui qui la porte ne me dérange pas du tout ....c'est son choix et ce n'est pas la tv qui me montre des choses sur l'Afghan qui va me faire généralsier ce port de barbe qui est une sounna de la part de ceux qui la porte ....pas de généralité s'il vous plait....il faut accepter tout le monde et bien sur dénoncer les extèmes et la violence ...Cordialement."
322,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,Qui t'a dit que le port de voile est interdit en Tunisie?On dirait que tu parles d'un pays Anti-Islam!!!Ta femme peut porter ça et elle ne sera nullement inquiétée. On a juste fait une petite campagne pour stopper un type particulier de voile.
323,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"Salam,quel type de voile n'est pas accepté?et pour la barbe est ce interdit?je vous dis celà car depuis peu on entend ici et là qu'on est embêté pour le port du voile ""hijab et pour la barbe ..je voulais savoir si celà s'avérait exact ...voilà tout.Cordialement."
324,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,N'oubliez pas que le voile est avant tout un instrument revendicatif à caractère essentiellement politique. Inciter les femmes à le porter au nom de la religion est avant tout un moyen de faire porter la voix des islamistes à toutes les classes de la population. Et vous savez tous quel modèle rétrograde et dépassée de la société veulent véhiculer les islamistes. Alors inutile d'être leurs porte-voix et de jouer leur jeu...
325,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,on parle actuellement d'un arret qui a juge inconstitutionnelles les circulaires 102 et 108et qui a rehabilite le droit d'une enseignante a porter le voile dons son etablissementest ce que quequ'un peut nous le confirmer ?merci et 3idkom mabrouk
326,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,Faux. C'est juste une juge qui a qualifié les decrets 102 et 108 d'anticonstitutionnels lors du rendement d'un verdict.
327,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"@iphitosvous ditesCiterLa tunisie est un Etat laiqueje crois pas que la tunisie est si laique ! lire le premier article de la constitution CiterArticle premier. - La Tunisie est un Etat libre, indépendant et souverain: sa religion est l'Islam, sa langue l'arabe et son régime la république.juste une precision "
328,Droit Commercial et économique : Droit des Sociétés,Voile (khimar) a l'université,"une précision précieuse Mehdi  je veux juste ajouter que se sont les filles qui se fringuent d'une manière un peu ""sexy"" ( pantalons moulants etc) qui attirent mon attention et non pas celles qui sont voilées. je ne suis ni pour ni contre le port du voile, mais je souhaite que chacun vit et pense librement sans être jugé sur sa tenue vestimentaire ou son apparence physique."
